GEO.id2,HC01_VC03,HC01_VC27,HC01_VC74,HC01_VC85,HC01_VC86
Id2,Estimate; EMPLOYMENT STATUS - Population 16 years and over,Estimate; COMMUTING TO WORK - Workers 16 years and over,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
1923,22572,13988,10624,79795,99109
1929,2941,1807,1439,109327,131697
1930,25686,14856,12906,65348,90086
1937,136,8,0,-,-
1938,11402,7297,5677,80829,108783
1940,10654,6632,4949,113509,143982
1944,4355,2662,2106,105500,162354
1945,16213,9758,8250,110025,158804
1949,7984,4244,2998,107727,143564
1950,14768,9358,7881,89887,122919
1951,3555,2097,1765,90662,116206
1952,7744,4377,3597,72900,80588
1960,44288,26892,21251,65060,84219
1966,6081,3411,3201,72015,97179
1969,5122,3298,2186,89338,126480
1970,36371,23022,18277,65476,80980
1982,6069,3680,2677,112250,136234
1983,5243,3112,2237,131387,153381
1984,4421,2338,1381,96979,161613
1985,3604,2297,1596,135882,164693
2019,13835,9816,6347,95533,118476
2021,18198,11809,9026,96583,126808
2025,6386,3701,3046,140000,208201
2026,21060,13088,9865,89451,121090
2030,4549,2759,2011,204018,310570
2032,3539,2406,1644,120250,151170
2035,14159,9137,6626,98199,119762
2038,25607,16937,11288,111935,139886
2043,17852,10371,8712,125144,181308
2045,9313,5868,4892,80584,101606
2047,65,15,50,26953,32424
2048,18618,13457,8471,111141,132297
2050,21101,13278,9495,92610,111913
2052,9232,5937,4189,153847,207293
2053,10312,7520,4642,115432,142572
2054,6647,4072,3100,100230,118942
2056,9200,4804,3183,139137,159798
2061,8172,5147,3632,128563,170302
2062,24099,15640,11757,87516,105000
2066,14411,8979,6650,114766,144537
2067,13828,9372,6220,133229,184244
2071,1345,520,300,115333,153704
2072,23708,15084,10724,78343,92757
2081,15161,9735,7027,105420,133936
2090,12011,7653,5528,146042,187447
2093,9085,6022,4076,107444,135705
2108,3658,2309,1888,126224,192935
2109,3790,2719,1943,129716,197828
2110,2070,1329,1347,108438,256500
2111,6709,3603,3202,39329,112325
2113,7131,5754,4370,91212,118824
2114,12367,8535,7196,89452,138702
2115,27941,13643,9258,38759,71111
2116,21757,14023,11987,103422,183165
2118,23744,14685,12514,70575,129325
2119,22474,12350,11261,30663,49233
2120,13800,6883,4991,32243,51456
2121,21744,11544,10471,27964,45874
2122,20188,12888,8384,56024,73842
2124,43657,26289,19130,50227,70587
2125,29321,18253,12586,53382,74396
2126,23375,13976,10027,50039,66689
2127,32887,23996,17056,91597,113153
2128,38066,25385,16286,52154,70513
2129,15723,11214,8931,103834,143820
2130,33865,22663,16336,84847,108494
2131,26778,17975,12480,72127,91960
2132,23305,15017,11333,93343,113775
2134,16944,11331,7855,49938,69218
2135,38471,25864,19063,61566,79397
2136,26421,16706,11762,64877,79517
2138,33884,19535,13542,87671,140947
2139,33094,22511,14094,91250,118835
2140,17133,11827,8891,91596,122546
2141,12231,8193,6437,77261,96782
2142,2726,1628,1326,120729,184100
2143,24357,18688,11238,90285,105638
2144,22676,17756,10792,102033,121394
2145,22762,15488,10409,68553,84425
2148,50905,32034,23081,62283,76055
