Zip_code,,POR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
22536,"LIHUE,HI",195002-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
24131,"BOISE,ID",194001-201512,6.2,3.4,1.6,0.5,0.1,0,0,0,0,0.1,2.2,5.7,19.8
24149,"LEWISTON,ID",194801-201512,5.3,2.5,1.2,0,0,0,0,0,0,0.1,1.7,3.9,14.7
24156,"POCATELLO,ID",193901-201512,9,6.6,5.4,3.6,0.5,0,0,0,0,1.7,4.6,8.6,40
94846,"CHICAGO,IL",195811-201512,11.6,9.2,6.4,1.4,0,0,0,0,0,0.3,1.8,8.4,39.1
14923,"MOLINE,IL",194306-201512,9.1,7.4,5.5,1.2,0,0,0,0,0,0.2,2.2,8.2,33.8
14842,"PEORIA,IL",194305-201512,6.9,6,3.8,0.7,T,0,0,0,0,0,1.8,6.1,25.3
94822,"ROCKFORD,IL",195101-201512,9.4,7.8,6.1,1,0,0,0,0,0,0.1,2.4,9.4,36.2
93822,"SPRINGFIELD,IL",190101-201512,5.8,5.7,3.8,0.5,0,0,0,0,0,0.1,1.2,4.7,21.8
93817,"EVANSVILLE,IN",194801-201512,4,3.6,2.1,0.2,0,0,0,0,0,0.1,0.5,2.9,13.4
14827,"FORT WAYNE,IN",193910-201512,9,7.7,4.9,1.1,0,0,0,0,0,0.2,2.7,7.2,32.8
93819,"INDIANAPOLIS,IN",194801-201512,8.1,6.4,3.5,0.4,0,0,0,0,0,0.2,1.5,5.9,26
14848,"SOUTH BEND,IN",189312-201512,17.6,12.7,8.1,1.9,0.2,0,0,0,0,0.9,6.6,14.7,62.7
14933,"DES MOINES,IA",194507-201512,8.5,8.2,5.9,1.7,0.1,0,0,0,0,0.3,2.8,7.4,34.9
94908,"DUBUQUE,IA",195102-201512,9.7,9.1,8.2,2.1,0.1,0,0,0,0,0.2,3.2,10.7,43.3
14943,"SIOUX CITY,IA",194801-201512,7.1,6.5,7.2,1.7,0,0,0,0,0,0.7,3.4,6.8,33.4
94910,"WATERLOO,IA",195004-201512,7.9,7.2,5.2,1.4,0,0,0,0,0,0.2,3,8.4,33.3
13984,"CONCORDIA,KS",189301-201512,4.4,5.2,4.1,0.9,0,0,0,0,0,0.2,1.7,4,20.5
13985,"DODGE CITY,KS",194801-201512,4.3,4.3,4.7,0.8,0,0,0,0,0,0.3,1.8,3.7,19.9
23065,"GOODLAND,KS",189509-201512,4.7,5.3,8,3.7,0.5,0.1,0,0,0.2,1.7,3.9,5.3,33.4
13996,"TOPEKA,KS",194608-201512,5.4,5.1,3.1,0.4,0,0,0,0,0,0.1,1,4.7,19.8
3928,"WICHITA,KS",195312-201512,4,4.3,2.5,0.2,0,0,0,0,0,0,1.1,3.4,15.5
3889,"JACKSON,KY",198101-201512,7.1,7.2,3.4,0.9,0,0,0,0,0,0.1,0.6,4.3,23.6
93820,"LEXINGTON,KY",188711-201512,5.5,4.7,2.9,0.3,0.1,0,0,0,0,0,1,3.2,17.7
93821,"LOUISVILLE,KY",194801-201512,5.1,4.5,2.8,0.1,0,0,0,0,0,0.1,0.8,2.4,15.8
3816,"PADUCAH,KY",194908-201512,3.1,3.1,1.7,0.1,0,0,0,0,0,0,0.2,1.7,9.9
13970,"BATON ROUGE,LA",193001-201512,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.2
3937,"LAKE CHARLES,LA",196111-201512,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.2
12916,"NEW ORLEANS,LA",194801-201512,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
13957,"SHREVEPORT,LA",193907-201512,0.8,0.5,0.1,0,0,0,0,0,0,0,0,0.2,1.6
14607,"CARIBOU,ME",193906-201512,24.1,22.7,19.9,8.2,0.6,0,0,0,0,1.8,11.3,24,112.6
14764,"PORTLAND,ME",194012-201512,19.4,17.3,12.7,2.7,0.1,0,0,0,0,0.2,2.8,14.4,69.6
93721,"BALTIMORE,MD",193907-201512,5.7,7,3.4,0,0,0,0,0,0,0,0.6,3.2,19.9
14753,"BLUE HILL,MA",189304-201512,16.4,16.6,11.9,3,0.1,0,0,0,0,0.4,2.7,11.2,62.3
14739,"BOSTON,MA",193601-201512,13.3,12.5,7.8,1.1,0,0,0,0,0,0,1.2,8,43.9
94746,"WORCESTER,MA",194806-201512,17.2,17.7,12.6,2.8,0.2,0,0,0,0,0.6,2.9,12.5,66.5
94849,"ALPENA,MI",191611-201512,19.3,14.9,12.7,4.4,0.4,0,0,0,0,0.6,6.9,16.6,75.8
94847,"DETROIT,MI",195812-201512,12,10.7,6.7,1.6,0,0,0,0,0,0.1,2.4,9.7,43.2
14826,"FLINT,MI",194805-201512,13,11,7.3,2.3,0,0,0,0,0,0.3,3.8,10.6,48.3
94860,"GRAND RAPIDS,MI",196312-201512,22,14.7,9.1,2.3,0,0,0,0,0,0.5,7.5,19.3,75.4
94814,"HOUGHTON LAKE,MI",196407-201512,18.1,13.4,10.3,4,0.2,0,0,0,0,0.7,8.9,15.8,71.4
14836,"LANSING,MI",194801-201512,13.4,11,7.6,2.6,0,0,0,0,0,0.4,4.8,11.7,51.5
